combo,max_spend_multiplier,scenario,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,longview_ai,23.22,22.69,-0.53,-1
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,longview_nuclear,3.82,6.27,2.45,1
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,navigation_fund_cagefree,15.64,28.48,12.84,2
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,navigation_fund_general,18.06,11.87,-6.19,-1
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,sentinel_bio,8.59,10.58,1.99,2
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,ea_awf,12.78,8.87,-3.90,1
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,givewell,12.95,23.46,10.50,2
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,leaf,4.94,6.15,1.21,0
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,longview_ai,23.22,25.64,2.42,0
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,longview_nuclear,3.82,1.74,-2.08,0
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,navigation_fund_cagefree,15.64,7.94,-7.71,-3
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,navigation_fund_general,18.06,17.71,-0.35,-1
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,sentinel_bio,8.59,8.50,-0.09,1
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,ea_awf,12.78,18.19,5.41,3
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,givewell,12.95,11.48,-1.47,-1
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,leaf,4.94,4.65,-0.29,0
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,0
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,longview_nuclear,3.82,3.62,-0.21,0
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,navigation_fund_cagefree,15.64,16.96,1.32,0
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,navigation_fund_general,18.06,8.62,-9.44,-4
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,sentinel_bio,8.59,13.77,5.17,2
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,ea_awf,12.78,18.14,5.36,3
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,givewell,12.95,10.13,-2.82,-1
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,leaf,4.94,4.57,-0.37,-1
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,longview_ai,23.22,22.72,-0.50,0
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,longview_nuclear,3.82,4.75,0.93,1
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,navigation_fund_cagefree,15.64,16.66,1.01,0
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,navigation_fund_general,18.06,7.01,-11.05,-4
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,sentinel_bio,8.59,16.02,7.43,2
