fund_varied,multiplier,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
navigation_fund_cagefree,2,credenceWeighted,10.70,15.30,6.25,34.35,2.80,15.75,7.65,7.20
navigation_fund_cagefree,2,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
navigation_fund_cagefree,2,met,17.00,14.00,2.00,6.00,1.00,16.00,42.00,2.00
navigation_fund_cagefree,2,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
navigation_fund_cagefree,2,borda,17.00,19.17,6.17,0.17,0.17,16.00,41.17,0.17
navigation_fund_cagefree,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
navigation_fund_general,0.5,nashBargaining,14.60,15.45,6.55,34.95,2.80,15.55,2.90,7.20
navigation_fund_general,0.5,credenceWeighted,14.60,15.45,6.55,34.95,2.80,15.55,2.90,7.20
navigation_fund_general,0.5,mec,17.00,10.00,5.00,0.00,15.00,16.00,18.00,19.00
navigation_fund_general,0.5,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
navigation_fund_general,0.5,splitCycle,17.00,38.10,6.10,0.00,0.10,16.00,22.60,0.10
navigation_fund_general,0.5,borda,17.00,38.00,6.50,0.00,0.00,16.00,22.50,0.00
navigation_fund_general,0.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
navigation_fund_general,1.5,nashBargaining,8.20,15.25,5.65,34.95,2.80,15.35,10.60,7.20
navigation_fund_general,1.5,credenceWeighted,8.20,15.25,5.65,34.95,2.80,15.35,10.60,7.20
navigation_fund_general,1.5,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
navigation_fund_general,1.5,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
navigation_fund_general,1.5,splitCycle,17.00,19.10,6.10,0.00,0.10,16.00,41.60,0.10
navigation_fund_general,1.5,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
navigation_fund_general,1.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
navigation_fund_general,2,nashBargaining,6.50,15.20,5.10,34.95,2.80,15.30,12.95,7.20
navigation_fund_general,2,credenceWeighted,6.50,15.20,5.10,34.95,2.80,15.30,12.95,7.20
navigation_fund_general,2,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
navigation_fund_general,2,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
navigation_fund_general,2,splitCycle,17.00,19.10,6.10,0.00,0.10,16.00,41.60,0.10
navigation_fund_general,2,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
navigation_fund_general,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
sentinel_bio,0.1,nashBargaining,10.50,15.30,6.20,34.95,10.00,15.45,7.60,0.00
sentinel_bio,0.1,credenceWeighted,10.50,15.30,6.20,34.95,10.00,15.45,7.60,0.00
sentinel_bio,0.1,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
sentinel_bio,0.1,met,17.00,15.00,2.00,6.00,2.00,16.00,42.00,0.00
sentinel_bio,0.1,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
sentinel_bio,0.1,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
sentinel_bio,0.1,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
sentinel_bio,0.8,nashBargaining,10.50,15.30,6.20,34.95,3.70,15.45,7.60,6.30
sentinel_bio,0.8,credenceWeighted,10.50,15.30,6.20,34.95,3.70,15.45,7.60,6.30
sentinel_bio,0.8,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
sentinel_bio,0.8,met,17.00,12.00,2.00,6.00,2.00,16.00,42.00,3.00
sentinel_bio,0.8,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
sentinel_bio,0.8,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
sentinel_bio,0.8,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
sentinel_bio,2,nashBargaining,10.50,15.30,6.20,34.95,0.40,15.45,7.60,9.60
sentinel_bio,2,credenceWeighted,10.50,15.30,6.20,34.95,0.40,15.45,7.60,9.60
sentinel_bio,2,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
sentinel_bio,2,met,17.00,2.00,2.00,6.00,2.00,16.00,42.00,13.00
sentinel_bio,2,splitCycle,16.89,17.56,6.06,0.00,0.06,16.00,41.56,1.89
sentinel_bio,2,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
sentinel_bio,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
sentinel_bio,4,nashBargaining,10.50,14.85,6.15,34.60,0.00,15.45,7.55,10.90
sentinel_bio,4,credenceWeighted,10.50,14.85,6.15,34.60,0.00,15.45,7.55,10.90
sentinel_bio,4,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
sentinel_bio,4,met,17.00,0.00,1.00,5.00,0.00,16.00,42.00,19.00
sentinel_bio,4,splitCycle,17.00,13.10,5.27,0.00,0.10,16.00,41.27,7.27
sentinel_bio,4,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
sentinel_bio,4,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
sentinel_bio,10,nashBargaining,10.50,13.90,5.90,27.95,0.10,15.45,7.50,18.70
sentinel_bio,10,credenceWeighted,10.50,13.90,5.90,27.95,0.10,15.45,7.50,18.70
sentinel_bio,10,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
sentinel_bio,10,met,17.00,0.00,1.00,5.00,0.00,16.00,42.00,19.00
sentinel_bio,10,splitCycle,17.00,1.17,5.67,0.00,0.17,16.00,41.50,18.50
sentinel_bio,10,borda,17.00,13.00,5.50,0.00,0.00,16.00,41.50,7.00
sentinel_bio,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,0.0001,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,0.0001,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,0.0001,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,0.0001,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
all_gcr,0.0001,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,0.0001,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_gcr,0.0001,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,0.001,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,0.001,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,0.001,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,0.001,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
all_gcr,0.001,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,0.001,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_gcr,0.001,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,0.01,nashBargaining,12.25,20.00,8.35,25.00,2.80,15.50,8.90,7.20
all_gcr,0.01,credenceWeighted,12.25,20.00,8.35,25.00,2.80,15.50,8.90,7.20
all_gcr,0.01,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,0.01,met,17.00,47.00,8.00,0.00,0.00,16.00,12.00,0.00
all_gcr,0.01,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,0.01,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_gcr,0.01,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,0.1,nashBargaining,12.25,20.00,8.35,25.00,2.80,15.50,8.90,7.20
all_gcr,0.1,credenceWeighted,12.25,20.00,8.35,25.00,2.80,15.50,8.90,7.20
all_gcr,0.1,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,0.1,met,17.00,18.00,6.00,0.00,0.00,16.00,42.00,1.00
all_gcr,0.1,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,0.1,borda,17.00,46.00,6.50,0.00,0.00,16.00,14.50,0.00
all_gcr,0.1,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,10,nashBargaining,10.45,12.35,4.30,35.00,4.90,15.45,7.45,10.10
all_gcr,10,credenceWeighted,10.45,12.35,4.30,35.00,4.90,15.45,7.45,10.10
all_gcr,10,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,10,met,17.00,0.00,0.00,23.00,9.00,16.00,16.00,19.00
all_gcr,10,splitCycle,16.50,0.00,0.00,13.50,14.33,16.00,21.33,18.33
all_gcr,10,borda,17.00,19.00,5.50,0.00,0.00,16.00,41.50,1.00
all_gcr,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,100,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,100,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,100,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,100,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
all_gcr,100,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,100,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_gcr,100,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,1000,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,1000,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,1000,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,1000,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
all_gcr,1000,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,1000,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_gcr,1000,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_gcr,10000,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,10000,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_gcr,10000,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_gcr,10000,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
all_gcr,10000,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_gcr,10000,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_gcr,10000,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_aw,0.25,nashBargaining,8.75,18.15,6.70,35.00,2.80,15.35,6.05,7.20
all_aw,0.25,credenceWeighted,8.75,18.15,6.70,35.00,2.80,15.35,6.05,7.20
all_aw,0.25,mec,11.00,25.00,6.00,0.00,15.00,16.00,8.00,19.00
all_aw,0.25,met,17.00,10.00,2.00,6.00,9.00,16.00,22.00,18.00
all_aw,0.25,splitCycle,14.83,53.00,6.33,0.00,0.00,15.50,10.33,0.00
all_aw,0.25,borda,14.50,52.50,6.50,0.00,0.00,16.00,10.50,0.00
all_aw,0.25,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_aw,0.5,nashBargaining,9.20,17.35,6.65,35.00,2.80,15.35,6.45,7.20
all_aw,0.5,credenceWeighted,9.20,17.35,6.65,35.00,2.80,15.35,6.45,7.20
all_aw,0.5,mec,17.00,10.00,5.00,0.00,15.00,16.00,18.00,19.00
all_aw,0.5,met,17.00,0.00,0.00,4.00,7.00,16.00,42.00,14.00
all_aw,0.5,splitCycle,17.00,38.10,6.10,0.00,0.10,16.00,22.60,0.10
all_aw,0.5,borda,17.00,38.00,6.50,0.00,0.00,16.00,22.50,0.00
all_aw,0.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_aw,2,nashBargaining,11.80,15.15,4.85,34.30,2.80,15.45,8.45,7.20
all_aw,2,credenceWeighted,11.80,15.15,4.85,34.30,2.80,15.45,8.45,7.20
all_aw,2,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
all_aw,2,met,17.00,13.00,2.00,6.00,1.00,16.00,42.00,3.00
all_aw,2,splitCycle,17.00,19.10,6.10,0.00,0.10,16.00,41.60,0.10
all_aw,2,borda,17.00,19.10,5.60,0.10,0.10,16.00,42.00,0.10
all_aw,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_aw,4,nashBargaining,13.70,14.70,4.85,31.15,2.80,15.60,10.00,7.20
all_aw,4,credenceWeighted,13.70,14.70,4.85,31.15,2.80,15.60,10.00,7.20
