fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
longview_nuclear,2,givewell,12.6494,-0.6036,15.3000,15.3000,0.0000,8.0000,19.0556,19.0000
longview_nuclear,2,leaf,4.9444,0.0064,6.2000,6.2000,1.0000,2.0000,5.5556,6.0000
longview_nuclear,2,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
longview_nuclear,2,longview_nuclear,7.4161,2.6181,6.7000,6.7000,15.0000,7.0000,1.3889,0.0000
longview_nuclear,2,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,2,navigation_fund_general,18.0644,0.0064,7.6000,7.6000,32.0000,42.0000,41.0556,42.0000
longview_nuclear,2,sentinel_bio,5.2994,-2.0186,3.3000,3.3000,19.0000,3.0000,0.0556,0.0000
longview_nuclear,4,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_nuclear,4,givewell,11.2455,-2.0075,14.9500,14.9500,0.0000,0.0000,14.1000,20.0000
longview_nuclear,4,leaf,4.9513,0.0133,6.2000,6.2000,1.0000,2.0000,5.7667,5.5000
longview_nuclear,4,longview_ai,23.0550,-0.1625,34.7000,34.7000,0.0000,5.0000,0.0000,0.0000
longview_nuclear,4,longview_nuclear,10.6788,5.8808,9.9500,9.9500,15.0000,15.0000,5.7667,0.0000
longview_nuclear,4,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,4,navigation_fund_general,18.0388,-0.0192,7.5500,7.5500,32.0000,42.0000,41.2667,41.5000
longview_nuclear,4,sentinel_bio,3.6130,-3.7050,0.7000,0.7000,19.0000,3.0000,0.1000,0.0000
longview_nuclear,10,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_nuclear,10,givewell,10.3758,-2.8772,14.2500,14.2500,0.0000,3.0000,6.1667,16.0000
longview_nuclear,10,leaf,4.7733,-0.1647,6.0000,6.0000,1.0000,2.0000,5.1667,5.5000
longview_nuclear,10,longview_ai,20.4875,-2.7300,30.7500,30.7500,0.0000,5.0000,0.0000,0.0000
longview_nuclear,10,longview_nuclear,14.4667,9.6687,14.6000,14.6000,15.0000,15.0000,14.3333,4.0000
longview_nuclear,10,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_nuclear,10,navigation_fund_general,18.0308,-0.0272,7.5500,7.5500,32.0000,42.0000,41.1667,41.5000
longview_nuclear,10,sentinel_bio,3.4483,-3.8697,0.9000,0.9000,19.0000,0.0000,0.1667,0.0000
navigation_fund_cagefree,0.5,ea_awf,13.3925,0.6175,11.4500,11.4500,17.0000,17.0000,17.0000,17.0000
navigation_fund_cagefree,0.5,givewell,12.5344,-0.7186,16.2000,16.2000,0.0000,0.0000,20.0556,20.0000
navigation_fund_cagefree,0.5,leaf,5.0269,0.0889,6.6500,6.6500,1.0000,0.0000,5.5556,5.5000
navigation_fund_cagefree,0.5,longview_ai,23.1500,-0.0675,35.0000,35.0000,0.0000,4.0000,0.0000,0.0000
navigation_fund_cagefree,0.5,longview_nuclear,5.3944,0.5964,3.6000,3.6000,15.0000,8.0000,0.0556,0.0000
navigation_fund_cagefree,0.5,navigation_fund_cagefree,13.7486,-1.8939,12.5500,12.5500,16.0000,16.0000,15.8889,16.0000
navigation_fund_cagefree,0.5,navigation_fund_general,18.4386,0.3806,8.1500,8.1500,32.0000,42.0000,41.3889,41.5000
navigation_fund_cagefree,0.5,sentinel_bio,8.3144,0.9964,6.4000,6.4000,19.0000,13.0000,0.0556,0.0000
navigation_fund_cagefree,1.5,ea_awf,12.8400,0.0650,10.6000,10.6000,17.0000,17.0000,17.0000,17.0000
navigation_fund_cagefree,1.5,givewell,13.3450,0.0920,15.3000,15.3000,0.0000,14.0000,20.0000,20.0000
navigation_fund_cagefree,1.5,leaf,4.9300,-0.0080,6.2000,6.2000,1.0000,2.0000,5.5000,5.5000
navigation_fund_cagefree,1.5,longview_ai,23.1225,-0.0950,34.6500,34.6500,0.0000,6.0000,0.0000,0.0000
navigation_fund_cagefree,1.5,longview_nuclear,4.6900,-0.1080,3.6000,3.6000,15.0000,1.0000,0.0000,0.0000
navigation_fund_cagefree,1.5,navigation_fund_cagefree,15.7725,0.1300,15.6500,15.6500,16.0000,16.0000,16.0000,16.0000
navigation_fund_cagefree,1.5,navigation_fund_general,18.0900,0.0320,7.6000,7.6000,32.0000,42.0000,41.5000,41.5000
navigation_fund_cagefree,1.5,sentinel_bio,7.2100,-0.1080,6.4000,6.4000,19.0000,2.0000,0.0000,0.0000
navigation_fund_cagefree,2,ea_awf,12.9050,0.1300,10.7000,10.7000,17.0000,17.0000,17.0000,17.0000
navigation_fund_cagefree,2,givewell,13.3363,0.0833,15.3000,15.3000,0.0000,14.0000,20.1000,19.1667
navigation_fund_cagefree,2,leaf,4.9838,0.0458,6.2500,6.2500,1.0000,2.0000,5.6000,6.1667
navigation_fund_cagefree,2,longview_ai,22.9308,-0.2867,34.3500,34.3500,0.0000,6.0000,0.0000,0.1667
navigation_fund_cagefree,2,longview_nuclear,4.7013,-0.0967,3.6000,3.6000,15.0000,1.0000,0.1000,0.1667
navigation_fund_cagefree,2,navigation_fund_cagefree,15.8375,0.1950,15.7500,15.7500,16.0000,16.0000,16.0000,16.0000
navigation_fund_cagefree,2,navigation_fund_general,18.0838,0.0258,7.6500,7.6500,32.0000,42.0000,41.1000,41.1667
navigation_fund_cagefree,2,sentinel_bio,7.2213,-0.0967,6.4000,6.4000,19.0000,2.0000,0.1000,0.1667
navigation_fund_general,0.5,ea_awf,15.4400,2.6650,14.6000,14.6000,17.0000,17.0000,17.0000,17.0000
navigation_fund_general,0.5,givewell,16.6505,3.3975,15.4500,15.4500,10.0000,13.0000,38.1000,38.0000
navigation_fund_general,0.5,leaf,5.8255,0.8875,6.5500,6.5500,5.0000,2.0000,6.1000,6.5000
navigation_fund_general,0.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
navigation_fund_general,0.5,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
navigation_fund_general,0.5,navigation_fund_cagefree,15.7075,0.0650,15.5500,15.5500,16.0000,16.0000,16.0000,16.0000
navigation_fund_general,0.5,navigation_fund_general,11.0430,-7.0150,2.9000,2.9000,18.0000,42.0000,22.6000,22.5000
navigation_fund_general,0.5,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
navigation_fund_general,1.5,ea_awf,11.2800,-1.4950,8.2000,8.2000,17.0000,17.0000,17.0000,17.0000
navigation_fund_general,1.5,givewell,13.1205,-0.1325,15.2500,15.2500,0.0000,13.0000,19.1000,19.0000
navigation_fund_general,1.5,leaf,4.4805,-0.4575,5.6500,5.6500,0.0000,2.0000,6.1000,6.0000
