scenario_group,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
discount 100-500 and 500+,0.001,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
discount 100-500 and 500+,0.001,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
discount 100-500 and 500+,0.001,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
discount 100-500 and 500+,0.001,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
discount 100-500 and 500+,0.001,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
discount 100-500 and 500+,0.001,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
discount 100-500 and 500+,0,ea_awf,16.6750,3.9000,16.5000,16.5000,17.0000,17.0000,17.0000,17.0000
discount 100-500 and 500+,0,givewell,17.8830,4.9300,16.5000,16.5000,23.0000,17.0000,20.1000,20.0000
discount 100-500 and 500+,0,leaf,5.9805,1.0425,6.6500,6.6500,6.0000,2.0000,5.6000,5.5000
discount 100-500 and 500+,0,longview_ai,14.4450,-8.7725,21.3000,21.3000,0.0000,6.0000,0.0000,0.0000
discount 100-500 and 500+,0,longview_nuclear,0.1580,-3.6650,0.0000,0.0000,1.0000,0.0000,0.1000,0.0000
discount 100-500 and 500+,0,navigation_fund_cagefree,15.9025,0.2600,15.8500,15.8500,16.0000,16.0000,16.0000,16.0000
discount 100-500 and 500+,0,navigation_fund_general,28.7980,10.7400,23.2000,23.2000,36.0000,42.0000,41.1000,41.5000
discount 100-500 and 500+,0,sentinel_bio,0.1580,-8.4350,0.0000,0.0000,1.0000,0.0000,0.1000,0.0000
